,date,open,high,low,close,adjusted close,volume
0,2018-08-14 00:00:00,180.71,181.99,178.62,181.11,181.11,19101995
1,2018-08-15 00:00:00,179.34,180.87,174.78,179.53,179.53,33020231
2,2018-08-16 00:00:00,180.42,180.5,174.01,174.7,174.7,31351784
3,2018-08-17 00:00:00,174.5,176.22,172.04,173.8,173.8,24893176
4,2018-08-20 00:00:00,174.04,174.57,170.91,172.5,172.5,21518006
5,2018-08-21 00:00:00,172.81,174.17,171.39,172.62,172.62,19578514
6,2018-08-22 00:00:00,172.21,174.24,172.13,173.64,173.64,16894083
7,2018-08-23 00:00:00,173.09,175.55,172.83,172.9,172.9,18053567
8,2018-08-24 00:00:00,173.7,174.82,172.92,174.645,174.645,14631556
9,2018-08-27 00:00:00,175.99,178.67,175.79,177.46,177.46,17921935
10,2018-08-28 00:00:00,178.1,178.2399,175.83,176.26,176.26,15910675
11,2018-08-29 00:00:00,176.295,176.79,174.75,175.9,175.9,18678301
12,2018-08-30 00:00:00,175.9,179.7901,175.7,177.64,177.64,24216532
13,2018-08-31 00:00:00,177.15,177.62,174.9815,175.73,175.73,18065159
14,2018-09-04 00:00:00,173.5,173.89,168.8,171.16,171.16,29808971
15,2018-09-05 00:00:00,169.49,171.125,166.67,167.18,167.18,31226744
16,2018-09-06 00:00:00,166.98,166.98,160.0,162.53,162.53,41514834
17,2018-09-07 00:00:00,160.31,164.6269,160.16,163.04,163.04,24300600
18,2018-09-10 00:00:00,163.51,165.01,162.16,164.18,164.18,20197680
19,2018-09-11 00:00:00,163.94,167.19,163.72,165.94,165.94,20457088
20,2018-09-12 00:00:00,163.25,164.49,161.8,162.0,162.0,24078118
21,2018-09-13 00:00:00,162.0,163.32,160.86,161.36,161.36,25453775
22,2018-09-14 00:00:00,161.715,162.84,160.34,162.32,162.32,21770405
23,2018-09-17 00:00:00,161.92,162.06,159.77,160.58,160.58,21005321
24,2018-09-18 00:00:00,159.39,161.7639,158.8656,160.3,160.3,22465236
25,2018-09-19 00:00:00,160.08,163.44,159.48,163.06,163.06,19628996
26,2018-09-20 00:00:00,164.5,166.45,164.4722,166.02,166.02,18936038
27,2018-09-21 00:00:00,166.64,167.25,162.81,162.93,162.93,45994800
28,2018-09-24 00:00:00,161.03,165.7,160.88,165.41,165.41,19222775
29,2018-09-25 00:00:00,161.99,165.59,161.15,164.91,164.91,27622806
30,2018-09-26 00:00:00,164.3,169.3,164.21,166.95,166.95,25252231
31,2018-09-27 00:00:00,167.55,171.77,167.21,168.84,168.84,27266856
32,2018-09-28 00:00:00,168.33,168.79,162.56,164.46,164.46,34265638
33,2018-10-01 00:00:00,163.03,165.88,161.26,162.44,162.44,26407677
34,2018-10-02 00:00:00,161.58,162.28,158.67,159.33,159.33,36030977
35,2018-10-03 00:00:00,160.0,163.66,159.53,162.43,162.43,23109456
36,2018-10-04 00:00:00,161.46,161.46,157.35,158.85,158.85,25739635
37,2018-10-05 00:00:00,159.21,160.9,156.2,157.33,157.33,25744047
38,2018-10-08 00:00:00,155.54,158.34,154.39,157.25,157.25,24045968
39,2018-10-09 00:00:00,157.69,160.59,157.42,157.9,157.9,18844425
40,2018-10-10 00:00:00,156.82,157.69,151.31,151.38,151.38,30609970
41,2018-10-11 00:00:00,150.13,154.81,149.16,153.35,153.35,35338901
42,2018-10-12 00:00:00,156.73,156.89,151.2998,153.74,153.74,25293492
43,2018-10-15 00:00:00,153.32,155.57,152.55,153.52,153.52,15433521
44,2018-10-16 00:00:00,155.4,159.46,155.01,158.78,158.78,19180095
45,2018-10-17 00:00:00,159.56,160.49,157.95,159.42,159.42,17592003
46,2018-10-18 00:00:00,158.51,158.66,153.28,154.92,154.92,21675084
47,2018-10-19 00:00:00,155.86,157.35,153.55,154.05,154.05,19761347
48,2018-10-22 00:00:00,154.76,157.34,154.46,154.78,154.78,15424658
49,2018-10-23 00:00:00,151.22,154.77,150.85,154.39,154.39,19095032
50,2018-10-24 00:00:00,154.28,154.65,145.6,146.04,146.04,27744597
51,2018-10-25 00:00:00,147.73,152.21,147.0,150.95,150.95,22105696
52,2018-10-26 00:00:00,145.82,149.0,143.8,145.37,145.37,31303341
53,2018-10-29 00:00:00,148.5,148.83,139.03,142.09,142.09,31336784
54,2018-10-30 00:00:00,139.935,146.64,139.7419,146.22,146.22,50528278
55,2018-10-31 00:00:00,155.0,156.4,148.96,151.79,151.79,60101251
56,2018-11-01 00:00:00,151.52,152.75,149.35,151.75,151.75,25640786
57,2018-11-02 00:00:00,151.8,154.13,148.96,150.35,150.35,24708695
58,2018-11-05 00:00:00,150.1,150.19,147.44,148.68,148.68,15969849
59,2018-11-06 00:00:00,149.31,150.97,148.0,149.94,149.94,16667124
60,2018-11-07 00:00:00,151.57,153.01,149.83,151.53,151.53,21877372
