,TSLA,AAPL,AMZN,GOOGL,FB,TWTR,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,QQQ,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2013-12-31,150.429,73.206,398.79,562.0901,54.648999999999994,63.65,33.1829,55.19,56.01,83.16,59.879,72.2159,87.2,40.57,14.02,50.318999999999996,80.6318,53.7244,83.9162,50.7651,63.0612,104.725,73.8111,110.59,128.0265,73.9433,50.7276,16.3024,40.6768,15.2346,3.87,48.1503,21.75,34.2497,42.3067,83.3315,67.3334,72.4804,82.83,52.5957,71.1903,17.1521,22.94
2014-01-02,150.1,72.1765,397.97,558.2834,54.71,67.5,32.9611,54.86,55.69,81.77,59.29,71.8564,86.01,40.42,14.01,49.25,80.5044,53.3215,82.7323,50.2298,62.6593,103.6603,73.9624,110.34,126.6699,73.656,50.2618,16.1825,40.7211,15.0824,3.95,47.9418,21.66,33.7015,42.5147,82.6778,67.1186,72.2129,80.48,51.8314,71.0692,17.3829,22.83
2014-01-03,149.56,70.5911,396.44,554.2108,54.556999999999995,69.0,32.7394,55.12,55.18,82.47,59.16,71.7239,85.6,40.62,14.17,48.9,80.183,53.3577,83.0005,49.9666,63.656000000000006,103.2028,74.0947,108.61,124.4865,73.5392,50.2524,16.1456,40.411,14.9017,4.0,48.1239,20.97,33.7314,42.3782,82.0809,66.9217,72.1207,80.92,51.8714,70.9201,17.5946,22.68
2014-01-06,147.0,70.976,393.63,560.3899,57.2,66.29,32.0475,54.23,55.73,84.59,58.12,71.6671,85.02,40.25,14.27,48.55,79.7854,53.0368,82.9635,49.3224,63.013000000000005,102.4197,74.0475,108.87,123.6465,72.8298,49.6096,15.9428,40.2339,15.1014,4.13,47.7961,20.67,32.9339,41.8908,81.7778,66.3847,71.9547,80.38,51.3671,70.6499,17.3926,22.53
2014-01-07,149.36,70.4681,398.03,571.1932,57.92,61.46,32.2959,54.95,57.78,88.13,58.97,72.9161,85.58,40.34,14.335,49.68,80.8953,53.4421,82.6491,49.6582,62.5468,101.9445,73.934,112.51,124.5865,73.189,50.2245,16.0165,40.3224,15.3487,4.18,48.2551,21.73,34.0005,42.8981,82.5357,66.1788,73.4855,84.91,48.5,71.1344,17.6186,23.1
2014-01-08,151.28,70.9147,401.92,572.3819,58.23,59.29,31.7193,56.94,57.89,89.0,58.9,72.5093,85.28,40.78,14.42,50.24,80.8711,53.6134,82.90799999999999,49.6854,61.93600000000001,100.3519,73.8962,113.97,126.8199,73.5751,50.476000000000006,16.0626,40.6679,15.5579,4.18,48.9708,23.87,35.1867,44.0126,82.7157,64.9526,75.9845,85.15,48.7128,70.0908,17.6427,23.31
2014-01-09,147.53,70.009,401.01,566.8699,57.22,57.05,31.5153,56.29,57.66,88.84,59.09,72.6895,84.51,40.94,14.32,51.08,81.5244,53.5386,82.4166,50.012,61.9681,104.2762,73.7636,114.8,128.9265,73.2519,50.4947,16.0442,40.5527,14.9778,4.09,48.47,23.24,34.16,47.3205,82.4409,64.9616,73.5593,85.17,48.15,69.7926,17.6042,22.75
2014-01-10,145.7199,69.5419,397.66,566.8398,57.94,57.0,31.9677,56.95,59.38,89.69,59.53,72.3195,84.77,41.13,14.49,51.47,80.6701,53.3504,82.1106,50.2751,61.4778,103.6955,75.0045,116.67,140.0499,73.64699999999999,51.1282,16.1087,40.535,14.9588,4.17,48.5337,23.71,34.5288,49.9135,82.7062,64.3261,75.4036,86.8,47.4485,70.2492,17.4887,23.01
2014-01-13,139.34,69.906,390.98,563.2286,55.91,57.82,31.0275,56.21,57.09,87.88,58.6,71.1528,83.4,40.64,14.27,51.57,78.2773,52.8124,80.664,48.6873,59.4926,100.9854,74.1425,113.93,131.0239,72.71300000000001,50.8487,15.9704,40.0213,14.6069,4.13,47.9327,23.33,33.4622,48.9549,81.4841,63.9949,72.2867,84.45,48.1157,68.2737,17.1905,22.38
2014-01-14,161.27,71.297,397.54,576.4795,57.74,58.21,31.7371,57.51,57.63,91.29,60.37,72.1488,84.7,41.04,14.46,52.64,79.40899999999999,53.7172,80.7846,49.7035,60.5133,102.2701,73.8678,121.51,139.9599,72.749,52.0691,16.2563,40.7919,15.0634,4.3,50.3275,23.67,34.5388,49.2376,83.0378,64.5946,73.3195,84.31,48.28,69.3733,16.825,22.46
2014-01-15,164.13,72.7284,395.87,576.0883,57.6,61.57,32.6063,59.72,60.31,90.84,61.68,72.8318,85.28,41.18,14.83,53.29,79.5694,53.985,81.8324,49.766999999999996,60.8911,102.2789,73.8204,121.12,137.5999,72.8028,52.125,16.5329,41.9612,15.2251,4.47,51.8755,23.33,34.7082,49.5138,83.7199,65.4181,73.1535,84.34,47.1971,69.2149,16.7288,21.93
2014-01-16,170.97,72.3226,395.8,579.9001,57.19,60.57,32.7217,59.21,61.89,94.0,61.63,72.8413,85.4,40.95,14.46,53.6,79.7752,53.5049,81.3966,49.2408,60.6821,101.6806,73.8015,125.26,138.1299,72.9735,51.1468,16.2563,41.8638,15.2726,4.38,50.4732,23.13,34.1999,50.5244,83.7294,65.6687,73.6976,84.76,47.3828,69.1496,16.6711,21.54
2014-01-17,170.01,70.5506,399.61,577.0463,56.3,62.2,32.2693,59.86,62.05,92.48,61.37,73.031,84.64,41.09,14.47,53.24,79.09100000000001,56.0164,84.3546,48.4605,60.6741,102.3229,73.8962,136.34,143.3799,72.74,50.5226,16.1825,41.8283,15.206,4.18,51.1197,22.38,33.7513,50.9045,83.2557,64.5588,73.2642,83.9,47.1485,68.9353,16.3151,24.1
2014-01-21,176.68,71.6467,407.05,583.6517,58.51,62.53,32.083,60.95,60.8,93.15,60.85,72.2626,84.5,41.57,14.55,53.3,79.0968,55.9561,84.0022,48.3516,60.867,101.1262,74.8245,141.2,146.4599,72.2551,50.7276,16.2378,42.1118,15.2631,4.17,51.0924,23.12,33.1532,51.9963,83.8904,65.0063,74.4445,81.5,46.9585,69.1403,16.1516,24.32
2014-01-22,178.56,71.9651,404.54,584.3137,57.51,62.44,31.8701,61.14,61.48,92.32,61.77,71.684,84.31,41.3,14.3,52.37,80.5,56.2118,84.50299999999999,48.6873,60.9634,100.0879,75.4118,144.73,146.3732,72.0216,51.593999999999994,16.2839,43.0685,15.2441,3.67,52.0394,23.65,33.243,51.8273,84.1083,65.0421,74.9148,82.47,47.6757,70.1746,16.1035,24.17
2014-01-23,181.5,72.5745,399.87,581.8461,56.63,62.8,31.980999999999998,60.08,62.46,91.49,60.88,71.4469,83.33,40.96,14.085,51.86,79.5916,55.0682,82.6855,47.5441,60.6902,99.25200000000001,75.0424,144.1,146.3332,72.0575,50.3456,16.1641,42.5458,15.187000000000001,3.62,51.0378,23.64,32.2163,51.8111,83.8241,64.2724,71.8072,81.34,55.5314,69.6901,16.0362,23.87
2014-01-24,174.6,71.2552,387.6,563.6549,54.45,61.74,32.6463,58.4,58.56,88.99,59.09,69.4738,79.74,40.11,14.16,50.44,75.87100000000001,53.3794,80.6269,48.8869,59.8141,98.6625,74.1709,138.62,136.9199,71.0876,47.765,15.8321,41.5094,14.7971,3.47,49.6173,22.92,31.3889,50.0694,82.1757,63.1089,68.6627,80.36,55.1542,67.7612,16.0362,23.84
2014-01-27,169.62,71.8333,386.28,552.32,53.55,57.91,31.9588,57.08,58.0,87.09,58.36,69.3031,77.96,39.5,14.0,50.59,73.4937,52.1658,79.4864,48.3697,58.6165,99.4984,73.2331,140.25,136.2099,70.8901,47.4762,15.4172,41.1728,14.702,3.41,49.5809,22.9,30.9603,47.9671,81.3799,61.8737,68.5889,77.91,54.4614,67.3233,16.0362,24.47
2014-01-28,178.38,66.0919,394.43,563.2437,55.14,60.44,32.1717,59.37,58.96,87.59,59.11,69.7015,79.33,39.87,14.01,51.24,76.1803,53.3094,80.3395,50.1663,58.8335,100.6423,73.2805,144.53,136.5132,70.5308,47.7184,15.4448,41.1108,14.8447,3.54,49.8267,23.05,31.3889,49.4098,81.3325,62.3391,70.3226,77.77,58.1099,67.9103,16.0554,24.87
2014-01-29,175.23,65.3416,384.2,555.1738,53.53,59.45,32.5176,57.96,57.6,86.2,58.46,69.4169,78.45,39.99,14.08,49.65,75.0883,52.383,79.3287,48.9777,58.1423,98.7505,73.2616,146.67,138.3999,68.8605,47.7463,15.4264,41.0399,14.702,3.48,49.2348,22.71,30.8606,48.8217,80.4609,61.4083,69.4096,76.67,57.2028,66.46600000000001,16.267,25.22
2014-01-30,182.84,65.2152,403.01,569.4528,61.08,63.47,32.695,60.97,65.61,89.77,59.39,70.375,78.78,40.52,14.3,51.52,77.079,53.2901,80.3209,49.7035,59.7337,99.1905,73.1763,150.82,138.7832,69.085,47.7557,15.4725,41.4386,14.9493,3.48,50.1272,23.45,32.7844,49.9557,81.9483,61.6052,70.0644,77.79,57.8099,68.2272,16.6037,26.03
2014-01-31,181.41,65.322,358.69,592.3134,62.57,64.5,33.5643,60.53,63.43,89.54,59.19,69.4833,78.53,39.86,14.12,51.25,73.1362,51.9752,78.8373,48.6782,60.0874,98.8649,73.1289,152.0,135.8599,69.0132,47.1501,15.5094,41.1197,14.9303,3.43,49.7516,23.04,32.3757,48.8087,81.7304,60.9966,69.133,77.19,58.4757,67.6587,16.4787,26.4
2014-02-03,177.11,65.4433,346.15,568.4698,61.48,65.25,32.358000000000004,58.47,62.96,87.94,58.09,67.1688,77.22,38.4,13.76,49.33,71.4257,51.5024,76.8344,47.3717,58.8175,96.9467,70.0787,151.01,133.7232,67.4327,45.2589,15.4541,39.8795,14.7306,3.33,48.4973,22.81,30.8008,46.5764,79.8546,61.0503,66.6709,73.91,57.7685,65.2174,16.4113,26.08
2014-02-04,178.73,66.3907,347.95,570.8421,62.75,66.32,32.2427,60.96,64.15,88.62,59.72,67.2636,77.31,39.11,13.81,50.12,70.6622,51.7605,77.8915,47.5804,59.1631,97.5714,71.1586,151.59,136.3665,67.3249,46.0787,15.4725,40.2604,14.8161,3.37,49.1802,23.0,31.1098,47.2327,80.442,62.1333,66.2467,76.37,57.9871,66.2051,16.2574,26.18
2014-02-05,174.42,66.8865,346.45,573.3699,62.19,65.97,31.7726,61.63,63.53,88.59,61.0,67.1119,77.66,38.98,13.74,49.96,70.3916,52.0187,77.6318,48.0267,59.1189,97.2371,71.3386,150.78,138.3665,67.5853,46.5352,15.5739,40.2693,14.683,3.31,49.1529,23.31,30.5317,46.3132,80.2335,60.9429,66.0162,76.16,57.7742,66.8667,16.2478,26.16
2014-02-06,178.38,67.2741,354.59,581.7759,62.16,50.03,32.0919,61.7,62.65,90.7,61.34,67.3775,79.62,39.1,13.73,50.96,72.3824,52.839,79.4586,49.1561,61.0679,100.5367,72.5132,150.06,138.2632,68.3935,47.56,15.7215,40.4297,14.8732,3.41,50.2638,24.11,30.8905,46.011,81.2567,61.0324,65.9516,77.14,58.2728,70.4076,16.5172,26.46
2014-02-07,186.53,68.2152,361.08,590.5429,64.32,54.35,32.4289,61.55,66.29,92.56,62.88,67.7759,81.0,39.77,14.01,51.99,73.745,53.5073,80.6733,50.3219,60.8348,100.3431,73.4794,156.9,139.2265,68.654,48.3053,15.8413,41.0621,15.0919,3.47,51.5113,24.51,31.6481,48.6105,82.7062,62.1512,67.1596,84.45,61.4257,70.5101,18.8932,27.2
2014-02-10,196.56,69.4373,360.87,588.281,63.548,52.92,32.6418,61.04,65.84,92.0,63.78,67.7759,80.42,39.95,14.23,52.28,73.7836,53.2105,81.9159,50.668,60.7304,100.1759,73.8489,161.74,143.2199,68.6181,48.0724,15.9059,41.4005,15.1395,3.63,51.2745,24.87,31.6082,49.9915,83.1799,61.6142,66.7539,84.05,61.4914,71.8053,18.6239,26.88
2014-02-11,196.62,70.3522,361.79,596.9327,64.851,54.0,32.9745,61.23,66.13,95.87,63.97,68.9806,80.82,40.59,14.42,52.92,73.62899999999999,53.64,82.1384,50.7135,61.5261,101.179,73.8489,161.1,142.1499,68.8785,49.0413,16.3946,42.7188,15.4533,3.7,52.8771,24.71,31.976999999999997,50.6966,84.1273,61.7126,66.1084,84.2,61.9985,72.4855,18.6335,27.41
2014-02-12,195.32,70.347,349.25,595.1823,64.45,56.85,33.2361,61.48,66.19,94.97,65.14,66.1348,80.94,40.61,14.58,53.77,73.4164,54.1804,82.5464,50.8046,61.727,101.2934,74.9761,158.94,146.1232,69.3993,49.0693,16.5144,43.5561,16.0049,3.69,53.6693,24.89,31.8375,50.8168,84.2883,61.8648,65.9793,90.27,61.2757,72.5973,18.8836,27.86
2014-02-13,199.63,71.464,357.2,601.8077,67.33,56.47,33.3603,63.13,67.65,98.32,67.04,67.0834,82.06,41.1,14.57,54.13,73.9576,54.1514,82.4351,51.1598,61.8797,102.1757,77.0127,163.77,147.5132,69.6777,48.3612,17.3996,44.5181,16.5089,3.7,53.7968,24.91,32.0867,51.3984,84.9136,62.9299,66.7631,92.3,62.3642,72.58800000000001,19.0183,27.56
2014-02-14,198.23,71.4063,357.35,603.2622,67.09,57.44,33.3692,62.8,67.53,96.8,68.34,68.0035,81.94,40.98,14.68,54.17,74.7887,54.6227,82.5279,51.8429,61.9761,102.4315,76.7759,164.33,146.2765,69.983,48.8923,17.5748,44.4379,17.0319,3.69,52.8863,25.08,32.0169,50.5146,85.0841,63.6727,67.6022,91.25,62.2157,73.8273,19.0472,27.58
2014-02-18,203.7,71.6688,353.65,607.3147,67.3,58.18,33.4401,63.73,67.52,97.35,68.66,69.2936,83.07,40.84,14.69,54.52,74.8853,54.6372,82.5464,52.4258,61.2608,101.7786,77.2116,170.4,148.0299,69.6598,48.2215,17.4729,44.8164,17.0224,3.7,53.1503,25.42,33.9208,51.8273,85.501,63.628,67.8604,93.35,62.4071,74.1535,19.1818,28.4
2014-02-19,193.64,70.5373,347.38,603.0315,68.06,55.5,33.5206,63.02,66.75,97.54,67.99,69.6446,82.46,40.76,14.77,54.47,74.0736,54.1103,82.3795,51.7792,60.0954,101.3816,77.079,170.16,146.6532,68.654,48.4358,17.3802,45.3108,17.2506,3.72,52.5402,25.42,33.3925,50.9728,84.9136,63.2521,67.3256,93.76100000000001,61.1757,73.4919,18.9317,27.91
2014-02-20,209.97,69.7208,349.8,603.9192,69.63,56.63,33.735,63.01,67.08,98.2,68.48,70.0524,83.11,39.85,14.94,54.9,73.3101,54.0088,82.5371,51.9795,59.2836,101.514,77.96,173.7,146.0132,69.5789,48.7711,17.6026,45.195,17.8592,3.69,53.724,25.49,33.6118,52.331,85.3115,63.4132,65.6381,96.8,62.1357,73.7901,18.8836,27.79
