,open,high,low,close,adjusted close,volume
2017-12-29,33.96,34.21,33.83,33.84,33.84,395786
2018-01-02,33.98,34.17,33.435,34.06,34.06,838892
2018-01-03,34.14,35.4,34.06,34.62,34.62,858826
2018-01-04,34.9,35.32,34.77,34.85,34.85,440071
2018-01-05,35.08,35.165,34.69,34.97,34.97,489064
2018-01-08,35.0,35.3382,34.46,35.22,35.22,549874
2018-01-09,35.38,36.33,35.31,35.47,35.47,750399
2018-01-10,35.22,35.5599,34.86,35.32,35.32,431302
2018-01-11,35.59,36.105,35.485,36.03,36.03,717191
2018-01-12,36.23,37.71,35.85,37.51,37.51,1060740
2018-01-16,37.81,38.83,36.4,36.44,36.44,1463471
2018-01-17,36.87,36.87,35.85,36.49,36.49,838467
2018-01-18,36.34,36.56,35.9,36.38,36.38,602083
2018-01-19,36.27,37.26,35.96,37.07,37.07,570594
2018-01-22,37.11,37.56,36.83,37.24,37.24,819409
2018-01-23,38.23,39.09,37.79,38.29,38.29,939745
2018-01-24,38.42,38.84,37.82,37.91,37.91,906233
2018-01-25,38.09,38.23,37.24,37.45,37.45,668008
2018-01-26,37.78,39.26,37.52,39.07,39.07,1070740
2018-01-29,38.94,39.3,38.53,38.56,38.56,586648
2018-01-30,38.18,38.95,37.74,38.34,38.34,969770
2018-01-31,38.6,39.25,38.3,38.52,38.52,673812
2018-02-01,38.28,39.28,37.66,38.83,38.83,764067
2018-02-02,38.5,38.99,37.9,37.94,37.94,712550
2018-02-05,37.68,39.03,36.78,37.02,37.02,1090834
2018-02-06,36.19,38.45,36.06,38.43,38.43,1613193
2018-02-07,41.19,42.35,40.24,40.47,40.47,4503166
2018-02-08,40.47,40.85,38.49,38.5,38.5,1716793
2018-02-09,38.93,39.45,37.81,39.1,39.1,1438269
2018-02-12,39.32,40.59,39.17,40.28,40.28,1145441
2018-02-13,40.0,41.32,39.85,41.18,41.18,846536
2018-02-14,40.85,42.82,40.79,42.6,42.6,1185965
2018-02-15,42.51,42.96,42.03,42.51,42.51,1384564
2018-02-16,42.47,42.97,42.2,42.38,42.38,948941
2018-02-20,41.99,43.65,41.77,42.98,42.98,1007216
2018-02-21,43.0,43.67,42.85,42.92,42.92,623631
2018-02-22,43.07,43.83,42.8,42.95,42.95,721772
2018-02-23,43.23,43.34,42.28,42.55,42.55,1026101
2018-02-26,42.75,43.28,42.54,43.2,43.2,1121955
2018-02-27,43.39,43.79,43.01,43.51,43.51,663406
2018-02-28,43.6,43.957,43.15,43.18,43.18,666654
2018-03-01,43.19,43.31,42.01,42.68,42.68,863575
2018-03-02,42.3,44.69,42.02,44.61,44.61,1013503
2018-03-05,44.3,45.25,43.85,45.05,45.05,667004
2018-03-06,45.19,45.25,44.37,44.42,44.42,1084142
2018-03-07,44.05,45.94,43.85,45.3,45.3,1286720
2018-03-08,45.41,46.745,45.41,46.47,46.47,944031
2018-03-09,46.83,47.29,45.63,45.94,45.94,1313872
2018-03-12,46.21,47.87,45.91,47.78,47.78,1993664
2018-03-13,48.0,48.105,45.34,46.04,46.04,1896448
2018-03-14,46.35,49.42,46.15,48.73,48.73,2819213
2018-03-15,47.0,47.93,45.51,47.6,47.6,2568402
2018-03-16,47.5,47.57,46.42,46.92,46.92,3032238
2018-03-19,46.57,47.03,45.21,45.95,45.95,1512755
2018-03-20,46.04,47.92,46.001000000000005,47.39,47.39,1642482
2018-03-21,47.38,49.0868,47.38,48.89,48.89,1786879
2018-03-22,48.25,48.96,47.64,48.12,48.12,1702711
2018-03-23,48.06,48.388999999999996,46.57,46.7,46.7,1312140
2018-03-26,47.81,49.04,47.55,49.04,49.04,1226043
2018-03-27,49.26,50.15,47.24,47.52,47.52,1928585
2018-03-28,47.32,47.43,45.3,46.01,46.01,2153650
2018-03-29,46.23,48.49,45.87,47.87,47.87,1548292
2018-04-02,47.44,47.56,45.76,46.0,46.0,998427
2018-04-03,46.68,47.14,45.6,45.87,45.87,1221441
2018-04-04,44.95,46.99,44.42,46.84,46.84,894961
2018-04-05,47.4,47.57,46.08,46.35,46.35,1488838
2018-04-06,45.82,46.6399,44.69,45.09,45.09,1038606
2018-04-09,45.7,46.46,45.11,45.17,45.17,1031763
2018-04-10,45.98,47.055,45.28,46.56,46.56,1035863
2018-04-11,46.18,48.13,46.18,47.33,47.33,1130810
