,QQQ,TSLA,AAPL,AMZN,GOOGL,FB,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2017-12-29,154.4396,311.35,166.7289,1169.47,1053.4,176.46,84.0818,102.23,130.39,101.74,175.24,156.0566,147.59,85.24,41.82,104.83,150.2773,113.2718,97.4899,75.4063,142.3844,184.1997,95.8286,218.49,364.94,185.3829,180.0265,50.3067,66.1398,192.9629,10.28,248.9079,41.12,172.27,84.6856,207.3034,342.6061,34.46,191.96,105.8234,62.9953,105.06
2018-01-02,157.1464,320.53,169.7141,1189.01,1073.21,181.42,84.4848,104.41,131.73,103.4,177.7,156.9864,148.55,86.03,42.05,107.12,150.8233,113.7586,97.1266,75.3965,141.156,186.377,95.79899999999999,224.03,375.25,183.9157,185.1221,52.1962,66.59100000000001,198.7966,10.98,258.7034,43.67,173.3675,87.0205,205.3325,345.8825,34.77,201.07,110.046,63.9803,109.45
2018-01-03,158.6734,317.25,169.6845,1204.2,1091.52,184.67,84.8779,105.29,132.91,105.17,181.04,157.4216,151.42,87.06,42.93,109.38,152.7197,114.8911,97.7255,75.9553,143.4178,188.6136,94.287,230.32,383.82,184.8743,188.2713,53.1212,67.9252,211.8802,11.55,261.5325,44.98,180.0029,88.178,207.4205,339.548,34.97,205.05,110.5185,64.9751,109.75
2018-01-04,158.951,314.62,170.4727,1209.59,1095.76,184.33,85.625,106.68,133.85,109.25,183.22,160.2404,151.82,87.89,43.58,112.07,154.6954,115.3183,99.3452,76.7102,144.9484,187.1489,95.4037,232.99,376.92,186.3415,189.132,53.4263,69.1515,212.9971,12.12,261.6197,46.88,176.1115,87.1602,203.947,337.5822,34.92,205.63,110.4693,64.3285,107.19
2018-01-05,160.5474,316.58,172.4136,1229.14,1110.29,186.85,86.6866,108.1,135.01,109.32,185.34,162.3175,152.45,88.93,43.99,110.84,157.9023,118.08,99.5718,76.6219,145.8941,185.8128,95.6018,228.17,379.01,188.2879,192.0857,53.7313,72.742,214.8021,11.88,263.17,45.8,178.9053,86.8509,202.2298,341.8118,34.73,209.99,109.8689,66.0297,112.39
2018-01-08,161.172,336.41,171.7732,1246.87,1114.21,188.28,86.775,108.86,135.3,109.94,185.04,162.4164,153.71,89.76,44.92,111.42,158.3789,118.5569,98.6557,76.0436,147.9219,186.5353,96.4837,227.06,391.86,187.838,193.5332,55.0303,73.2227,221.3837,12.28,263.7997,45.55,194.4211,85.1246,200.65900000000002,342.3082,34.67,212.05,108.294,66.2884,113.22
2018-01-09,161.1819,333.69,171.7535,1252.7,1112.79,187.87,86.7161,109.15,135.45,109.7,186.7,163.4352,155.14,89.69,45.07,112.11,158.6076,118.3284,99.0201,76.7004,148.7993,184.3679,95.5127,242.8,397.6,188.8748,193.23,53.9872,73.4189,221.3239,11.82,260.147,42.97,194.4211,87.2999,208.1327,336.629,34.59,209.31,108.2152,65.8506,112.18
2018-01-10,160.8051,334.8,171.7141,1254.33,1110.14,187.84,86.3229,108.8,136.23,114.14,187.11,162.1067,152.11,89.34,44.84,111.47,158.9656,118.1992,99.7097,77.9062,149.0625,183.5069,95.3145,242.59,423.76,187.6032,187.4498,52.452,72.6929,223.0591,11.96,254.6534,43.31,192.176,88.3975,208.3181,332.5087,34.49,212.52,107.7526,66.4873,112.25
2018-01-11,161.9057,337.95,172.6895,1276.68,1112.05,187.77,86.5785,109.1,137.58,114.24,188.92,161.601,152.21,89.71,44.87,113.26,160.0197,119.0536,99.227,78.7787,148.9747,187.426,95.8793,240.04,421.37,190.4202,184.9656,52.3536,72.9283,223.458,12.14,255.3026,42.82,197.3646,88.9463,213.6161,325.0622,35.28,217.24,109.2488,68.885,112.0
2018-01-12,163.0956,336.22,174.4727,1305.2,1130.65,179.37,88.0725,110.24,138.19,112.9,195.05,163.0981,154.22,90.37,45.07,115.91,161.4218,119.3019,99.4634,78.9257,148.8968,189.8606,96.4242,244.72,419.04,192.1222,184.36900000000003,52.5996,73.2423,222.361,12.02,256.068,42.81,196.1672,89.4253,216.9041,326.482,36.54,221.23,110.7055,69.9992,113.13
