,QQQ,TSLA,AAPL,AMZN,GOOGL,FB,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2016-12-30,116.4144,213.69,112.294,749.87,792.45,115.05,59.7524,68.46,74.34,66.09,102.95,112.1093,92.49,58.86,25.22,74.01,101.7611,76.965,71.5759,69.2386,107.6014,150.5231,71.8486,128.04,211.3898,128.1932,102.1758,31.471999999999998,57.9667,106.0346,11.34,167.9591,21.92,56.1193,58.9032,154.2222,211.2048,46.37,123.8,101.0025,35.7096,78.76
2017-01-03,117.4559,216.99,112.6139,753.67,808.01,116.86,60.1755,70.54,75.66,68.38,103.48,112.2462,93.35,59.37,25.34,76.18,103.8702,78.425,72.803,69.8533,106.7152,150.1658,72.4542,131.13,213.9298,128.4131,103.6544,31.1501,56.7185,101.3359,11.43,169.4508,22.55,57.1659,59.3013,153.9067,213.9706,47.51,127.49,102.8051,36.2337,79.17
2017-01-04,118.0946,226.99,112.4879,757.18,807.77,118.69,59.9063,72.8,78.83,71.36,104.14,112.4712,94.44,59.57,25.57,77.52,104.8558,79.0662,73.9914,71.0154,107.76,150.194,73.5383,135.18,209.8298,129.5509,103.7123,31.4427,56.3056,103.7001,11.43,168.2441,22.36,59.6081,62.038000000000004,155.1304,214.5002,48.86,129.41,104.1231,36.9457,80.63
2017-01-05,118.7627,226.75,113.0599,780.45,813.02,120.67,59.9063,72.79,79.13,72.28,105.91,113.1657,94.71,59.79,25.66,76.93,105.664,79.9935,73.0794,70.0165,108.1331,153.1554,73.411,134.56,210.9698,128.0211,103.4804,31.3062,55.6238,101.0677,11.24,165.5932,22.11,59.1097,62.1673,156.4498,224.8084,49.2,131.81,104.065,37.5193,78.96
2017-01-06,119.8042,229.01,114.3203,795.99,825.21,123.41,60.4255,73.8,82.1,73.85,108.3,114.6428,93.95,60.0,25.65,79.3,106.4244,81.0984,73.2249,69.2098,109.3178,153.0802,72.9897,141.49,212.0365,127.6673,103.9829,31.2477,56.6993,102.4187,11.32,167.78799999999998,22.04,57.3154,63.0431,157.2433,222.6016,50.77,131.07,105.6156,37.4896,79.01
2017-01-09,120.1973,231.28,115.3675,796.92,827.18,124.9,60.2332,73.96,82.0,74.76,108.57,114.2994,94.29,60.08,25.72,79.59,106.21700000000001,80.6446,73.6033,68.7872,108.5156,151.3316,73.6265,141.54,213.7665,128.4131,105.2006,31.9694,56.7089,106.571,11.49,168.1491,22.34,56.8669,65.0433,154.6237,230.3891,50.92,130.95,105.0147,37.2819,78.64
2017-01-10,120.4626,229.87,115.4838,795.9,826.01,124.35,60.214,73.98,81.67,74.35,108.26,113.90700000000001,94.19,60.69,25.77,79.98,105.9899,80.2105,74.3698,69.2578,108.4876,151.9803,72.8819,165.04,220.7331,130.1245,104.8237,32.3107,56.2,105.7664,11.44,171.5697,22.48,57.6145,65.4315,157.4154,235.3716,51.31,129.89,105.0341,37.9544,78.85
2017-01-11,120.7868,229.73,116.1043,799.02,829.86,126.09,60.7621,75.77,83.9,81.7,108.99,114.1719,93.7,60.91,26.11,80.87,106.4738,80.6939,74.6221,68.816,108.1145,151.8675,73.4698,162.35,226.0531,129.7421,105.3262,32.6423,56.1711,104.4651,11.2,170.477,22.79,57.9634,63.1824,156.6219,234.6752,51.66,130.5,106.0614,38.7653,79.02
2017-01-12,120.6001,229.59,115.6195,813.64,829.53,126.62,60.2044,75.21,83.46,80.12,108.59,114.8193,93.89,60.88,25.94,80.65,107.3626,80.2697,74.593,68.4894,108.6089,152.1777,73.3032,162.84,221.6264,129.1397,104.5338,32.4863,55.7199,102.7564,10.76,169.9449,22.31,57.7142,64.1676,154.4038,230.90900000000002,51.88,129.18,104.2104,38.6961,79.6
2017-01-13,121.0128,237.75,115.4159,817.14,830.94,128.34,60.2909,75.64,83.53,80.89,108.53,114.8782,94.03,61.34,26.07,81.32,107.3528,80.0724,74.3407,68.8256,109.0193,152.1683,73.3816,162.57,221.5698,129.111,106.8241,32.9544,56.1807,102.7465,10.58,171.4556,22.18,58.0132,64.6851,157.7883,233.1158,52.92,133.7,104.72399999999999,38.5181,80.35
2017-01-17,120.6493,235.58,116.3467,809.72,827.46,127.87,60.1274,75.02,81.41,80.99,108.0,113.8874,93.5,60.74,25.8,78.62,107.0565,80.1612,74.3213,67.1352,107.9186,154.0015,73.0681,160.47,221.2464,129.96200000000002,105.4325,32.4765,55.4318,100.4418,9.82,170.1824,21.74,57.0164,63.1227,154.4708,238.4121,52.6,132.89,104.6368,38.5181,80.23
2017-01-18,120.8949,238.36,116.337,807.48,829.02,127.92,60.0986,75.78,82.85,82.11,108.79,113.5931,93.57,60.76,25.91,79.71,107.3133,80.4868,75.1848,67.577,109.3738,154.434,73.4208,161.23,221.0231,130.1819,107.5006,32.8569,55.8255,102.2697,9.88,175.7978,22.32,57.0164,63.9288,155.5607,231.2522,52.88,133.26,104.8209,38.6466,80.53
2017-01-19,120.8359,243.76,116.1334,809.04,824.37,127.55,59.9063,75.57,82.7,82.04,109.79,113.75,93.49,60.91,25.97,79.98,107.1849,80.6249,74.4086,67.2313,108.5436,153.8981,73.3718,160.58,219.3531,129.4457,107.11399999999999,32.9154,55.6718,104.4651,9.77,176.3109,21.71,56.817,63.3118,155.5415,234.3908,52.16,138.41,103.9681,38.4291,80.38
