,TSLA,FB,BABA,AMZN
2018-07-19,320.23,208.09,187.34,1812.97
2018-07-20,313.58,209.94,187.25,1813.7
2018-07-23,303.2,210.91,187.04,1802.0
2018-07-24,297.43,214.67,189.0,1829.24
2018-07-25,308.74,217.5,197.98,1863.61
2018-07-26,306.65,176.26,194.18,1808.0
2018-07-27,297.18,174.89,189.42,1817.27
2018-07-30,290.17,171.06,184.82,1779.22
2018-07-31,298.14,172.58,187.23,1777.44
2018-08-01,300.84,171.65,185.27,1797.17
2018-08-02,349.54,176.37,182.6,1834.33
2018-08-03,348.17,177.78,180.84,1823.29
2018-08-06,341.99,185.69,178.62,1847.75
2018-08-07,379.57,183.81,179.92,1862.48
2018-08-08,370.34,185.18,177.52,1886.52
2018-08-09,352.45,183.09,177.19,1898.52
2018-08-10,355.49,180.26,180.01,1886.3
2018-08-13,356.41,180.05,177.68,1896.2
2018-08-14,347.64,181.11,172.53,1919.65
2018-08-15,338.69,179.53,169.83,1882.62
2018-08-16,335.45,174.7,171.99,1886.52
2018-08-17,305.5,173.8,172.78,1882.22
2018-08-20,308.44,172.5,176.29,1876.71
2018-08-21,321.9,172.62,177.92,1883.42
2018-08-22,321.64,173.64,177.85,1904.9
2018-08-23,320.1,172.9,172.23,1902.9
2018-08-24,322.82,174.645,174.23,1905.39
2018-08-27,319.27,177.46,180.65,1927.68
2018-08-28,311.86,176.26,178.19,1932.82
2018-08-29,305.01,175.9,178.5,1998.1
2018-08-30,303.15,177.64,174.6,2002.38
2018-08-31,301.66,175.73,175.01,2012.71
2018-09-04,288.95,171.16,170.44,2039.51
2018-09-05,280.74,167.18,164.23,1994.82
2018-09-06,280.95,162.53,159.87,1958.31
2018-09-07,263.24,163.04,162.37,1952.07
2018-09-10,285.5,164.18,156.36,1939.01
2018-09-11,279.44,165.94,157.46,1987.15
2018-09-12,290.54,162.0,161.46,1990.0
2018-09-13,289.46,161.36,165.53,1989.87
2018-09-14,295.2,162.32,164.74,1970.19
2018-09-17,294.84,160.58,158.89,1908.03
2018-09-18,284.96,160.3,156.65,1941.05
2018-09-19,299.02,163.06,162.63,1926.42
2018-09-20,298.33,166.02,165.88,1944.3
2018-09-21,299.1,162.93,164.63,1915.01
2018-09-24,299.68,165.41,163.16,1934.36
2018-09-25,300.99,164.91,164.25,1974.55
2018-09-26,309.58,166.95,165.4,1974.85
2018-09-27,307.52,168.84,166.32,2012.98
2018-09-28,264.77,164.46,164.76,2003.0
2018-10-01,310.7,162.44,162.0,2004.36
2018-10-02,301.02,159.33,160.23,1971.31
2018-10-03,294.8,162.43,162.37,1952.76
2018-10-04,281.83,158.85,156.13,1909.42
2018-10-05,261.95,157.33,154.63,1889.65
2018-10-08,250.56,157.25,151.14,1864.42
2018-10-09,262.8,157.9,146.94,1870.32
2018-10-10,256.88,151.38,138.29,1755.25
2018-10-11,252.23,153.35,141.9,1719.36
2018-10-12,258.78,153.74,147.29,1788.61
2018-10-15,259.59,153.52,144.16,1760.95
2018-10-16,276.59,158.78,149.6,1819.96
2018-10-17,271.78,159.42,148.14,1831.73
2018-10-18,263.91,154.92,142.02,1770.72
2018-10-19,260.0,154.05,142.93,1764.03
2018-10-22,260.95,154.78,148.8,1789.3
2018-10-23,294.14,154.39,146.65,1768.7
2018-10-24,288.5,146.04,139.61,1664.2
2018-10-25,314.86,150.95,144.6,1782.17
2018-10-26,330.9,145.37,142.87,1642.81
2018-10-29,334.85,142.09,133.38,1538.88
2018-10-30,329.9,146.22,136.33,1530.42
2018-10-31,337.32,151.79,142.28,1598.01
2018-11-01,344.28,151.75,151.25,1665.53
2018-11-02,346.41,150.35,147.59,1665.53
2018-11-05,341.4,148.68,144.64,1627.8
2018-11-06,341.06,149.94,147.44,1642.81
2018-11-07,348.16,151.53,152.5,1755.49
2018-11-08,351.4,147.87,148.99,1754.91
2018-11-09,350.51,144.96,144.85,1712.43
2018-11-12,331.28,141.55,142.82,1636.85
2018-11-13,338.73,142.16,146.98,1631.17
2018-11-14,344.0,144.22,150.44,1599.01
2018-11-15,348.44,143.85,156.22,1619.44
2018-11-16,354.31,139.53,154.1,1593.41
2018-11-19,353.47,131.55,149.53,1512.29
2018-11-20,347.49,132.43,145.98,1495.46
2018-11-21,338.19,134.82,149.41,1516.73
2018-11-23,325.83,131.73,150.33,1502.06
2018-11-26,346.0,136.38,156.01,1581.33
2018-11-27,343.92,135.0,156.46,1581.42
2018-11-28,347.87,136.76,159.34,1677.75
2018-11-29,341.17,138.68,156.28,1673.57
2018-11-30,350.48,140.61,160.86,1690.17
2018-12-03,358.49,141.09,163.74,1772.36
2018-12-04,359.7,137.93,158.34,1668.4
2018-12-06,363.06,139.63,155.83,1699.19
2018-12-07,357.965,137.42,153.06,1629.13
2018-12-10,365.15,141.85,151.43,1641.03
2018-12-11,366.76,142.08,151.83,1643.24
2018-12-12,366.6,144.5,151.5,1663.54
2018-12-13,376.79,145.01,151.48,1658.38
2018-12-14,365.71,144.06,149.0,1591.91
2018-12-17,348.42,140.19,143.98,1520.91
2018-12-18,337.03,143.66,140.82,1551.48
2018-12-19,332.97,133.24,137.14,1495.08
2018-12-20,315.38,133.4,135.11,1460.83
2018-12-21,319.77,124.95,132.0,1377.45
2018-12-24,295.39,124.06,131.89,1343.96
2018-12-26,326.09,134.18,138.0,1470.9
2018-12-27,316.13,134.52,138.45,1461.64
2018-12-28,333.87,133.2,139.09,1478.02
2018-12-31,332.8,131.09,137.07,1501.97
