,QQQ,TSLA,AAPL,AMZN,GOOGL,FB,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2015-12-31,108.6955,240.01,99.8338,675.89,778.01,104.66,51.9285,78.4,86.56,79.68,93.94,93.2876,92.5,45.61,20.81,60.93,95.1842,75.9267,65.9255,50.381,80.3397,150.1087,77.6932,191.945,182.0532,123.8059,75.5946,17.9171,43.8975,32.4324,2.87,135.8459,14.16,54.2653,69.6651,119.6451,174.9501,85.25,114.38,100.3494,37.9735,68.72
2016-01-04,106.4023,223.41,99.9192,636.99,759.44,102.22,51.292,76.71,84.07,77.76,91.97,91.2381,90.1,44.92,20.53,60.31,92.6912,74.1155,64.0676,49.5259,78.6283,148.2869,77.1135,181.28,182.4632,122.7013,73.986,17.7252,42.8041,31.8518,2.77,133.1598,14.33,53.2585,67.3131,116.0554,166.1466,82.98,109.96,98.344,36.9043,66.1
2016-01-05,106.2177,223.43,97.4153,633.79,761.53,102.73,51.526,77.05,84.0,77.24,92.34,92.7559,89.42,44.97,20.54,60.39,92.8671,74.6735,63.0818,49.4132,79.249,148.6494,77.2391,178.02,183.9865,122.1021,74.3857,17.7444,43.4396,32.3635,2.75,128.705,14.82,52.6006,66.7078,117.7194,167.8263,81.93,107.66,96.3576,36.4334,64.94
2016-01-06,105.1974,219.04,95.5089,632.65,759.33,102.97,50.59,76.29,81.42,74.4,91.02,93.0845,88.29,44.31,20.2,59.54,91.4495,73.6945,61.3377,48.4454,78.8589,147.2738,77.1715,177.56,184.4131,120.8383,70.0168,17.015,42.6452,31.0253,2.505,124.7461,14.22,51.6337,63.8596,117.7381,167.6428,80.1,117.68,95.8419,36.0901,63.68
2016-01-07,101.9033,215.65,91.478,607.94,741.0,97.92,48.8304,74.3,79.64,71.75,89.11,91.5861,87.23,43.28,19.75,55.98,89.7744,72.2454,60.7855,47.5434,77.6174,143.8999,75.8151,167.72,178.9665,117.3933,68.2559,16.516,40.9629,29.7953,2.275,120.7779,13.66,49.4508,61.3489,114.0456,159.6309,77.69,114.56,95.0206,35.58,62.46
2016-01-08,101.0676,211.0,91.9617,607.05,730.91,97.33,48.9801,73.23,78.12,71.07,87.85,90.3254,85.4,42.35,19.24,55.06,88.06,71.3545,60.5855,46.9514,76.4646,141.381,74.9431,165.17,178.8465,115.9891,67.0852,16.1129,40.1218,29.1557,2.14,119.9824,13.33,50.0588,60.0489,112.7276,157.7872,76.18,111.39,94.7819,35.0306,63.13
2016-01-11,101.3786,207.85,93.4508,617.74,733.07,97.51,48.9521,73.18,78.53,70.25,89.38,91.1594,85.27,42.09,19.28,55.23,88.7359,72.3727,60.9854,47.44,77.1031,143.8069,73.9936,165.71,179.8598,117.749,67.5325,16.0074,40.2994,29.2049,2.34,119.8326,12.53,49.69,56.7046,115.4385,153.2793,76.95,114.97,95.4217,35.5211,64.21
2016-01-12,102.5543,209.97,94.807,617.89,745.34,99.37,49.4013,74.46,80.99,71.9,89.82,91.9838,86.41,42.02,19.14,54.79,89.5784,73.1951,61.3187,47.9192,77.3691,145.0477,74.8559,168.64,180.7065,119.3499,67.9989,16.0745,40.5237,29.6969,2.39,121.5921,12.72,49.6202,58.3718,113.8306,155.2774,77.36,116.58,96.8924,36.4138,65.62
2016-01-13,99.0173,200.31,92.3695,581.81,719.57,95.44,48.3343,72.35,76.79,71.26,88.3,88.9289,84.45,40.53,18.66,50.87,87.3742,71.5699,59.8428,46.4159,74.6379,141.3903,73.2766,164.49,181.7132,113.6487,65.7526,15.5467,39.1685,28.7916,2.25,115.4058,12.06,48.6234,54.3229,109.4651,152.3333,72.94,106.56,94.0465,34.1968,63.38
2016-01-14,101.1259,206.18,94.3897,593.0,731.39,98.37,49.7102,73.07,78.21,70.5,89.8,91.4698,84.9,41.25,19.38,52.65,88.8633,72.2552,60.2618,47.13,75.1079,142.3755,74.6136,175.11,185.2565,111.9824,68.4844,16.1321,39.6358,28.211,2.21,117.1653,12.02,49.7897,56.4267,113.8306,157.8451,71.92,107.06,94.6482,34.7265,64.48
