symbol,FV,CAP,MOAT,Glassdor
AAPL, 200,L,M
AVGO, 300,L,M
CSCO, 49,L,M
UNH, 300,L,W,3.3
QRVO, 86,M,N
SWKS, 105,L
ANSS, 120,L
NEWR,100,M
HUBS,160,M
TSLA,240,M
NVDA,150,L
CBLK,20,S
XLNX,90,L
JD,32,L
BILI,18,M
GOOGL,1300,L
MA,236,L
RDFN,20,S
STNE,30,M
AMZN,2300,L
BABA,200,M
FB,200,L
SNPS,90,L
CDNS,45,L
OLED,100,M
PYPL,90,L
V,148,L
SQ,50,L
COST,190,L
MSFT,125,L
AXP,110,L
HD,170,L
FFIV,180,M
CLDR,15,M
ZEN,80,M
