,open,high,low,close,adjusted close,volume
2017-12-29,170.52,170.59,169.22,169.23,166.7289,25643711
2018-01-02,170.16,172.3,169.26,172.26,169.7141,25048048
2018-01-03,172.53,174.55,171.96,172.23,169.6845,28819653
2018-01-04,172.54,173.47,172.08,173.03,170.4727,22211345
2018-01-05,173.44,175.37,173.05,175.0,172.4136,23016177
2018-01-08,174.35,175.61,173.93,174.35,171.7732,20134092
2018-01-09,174.55,175.06,173.41,174.33,171.7535,21262614
2018-01-10,173.16,174.3,173.0,174.29,171.7141,23589129
2018-01-11,174.59,175.4886,174.49,175.28,172.6895,17523256
2018-01-12,176.18,177.36,175.65,177.09,174.4727,25039531
2018-01-16,177.9,179.39,176.14,176.19,173.58599999999998,29159005
2018-01-17,176.15,179.25,175.07,179.1,176.453,32752734
2018-01-18,179.37,180.1,178.25,179.26,176.6106,30234512
2018-01-19,178.61,179.58,177.41,178.46,175.8225,30827809
2018-01-22,177.3,177.78,176.6016,177.0,174.38400000000001,26023683
2018-01-23,177.3,179.44,176.82,177.04,174.4234,31702531
2018-01-24,177.25,177.3,173.2,174.22,171.6451,50562257
2018-01-25,174.505,174.95,170.53,171.11,168.5811,39661804
2018-01-26,172.0,172.0,170.06,171.51,168.9752,37121805
2018-01-29,170.16,170.16,167.07,167.96,165.4776,48434424
2018-01-30,165.525,167.37,164.7,166.97,164.5023,45137026
2018-01-31,166.87,168.4417,166.5,167.43,164.9555,30984099
2018-02-01,167.165,168.62,166.76,167.78,165.3003,38099665
2018-02-02,166.0,166.8,160.1,160.5,158.1279,85436075
2018-02-05,159.1,163.88,156.0,156.49,154.1772,66090446
2018-02-06,154.83,163.72,154.0,163.03,160.6205,66625484
2018-02-07,163.085,163.4,159.0685,159.54,157.1821,50852130
2018-02-08,160.29,161.0,155.03,155.15,152.857,49594129
2018-02-09,157.07,157.89,150.24,156.41,154.719,66723743
2018-02-12,158.5,163.89,157.51,162.71,160.9509,60560145
2018-02-13,161.95,164.75,161.65,164.34,162.5633,32104756
2018-02-14,163.045,167.54,162.88,167.37,165.5605,39669178
2018-02-15,169.79,173.09,169.0,172.99,171.1198,50609595
2018-02-16,172.36,174.82,171.77,172.43,170.5658,39638793
2018-02-20,172.05,174.26,171.42,171.85,169.9921,33531012
2018-02-21,172.83,174.12,171.01,171.07,169.2205,35833514
2018-02-22,171.8,173.95,171.71,172.5,170.6351,30504116
2018-02-23,173.67,175.65,173.54,175.5,173.6026,33329232
2018-02-26,176.35,179.39,176.21,178.97,177.0351,36886432
2018-02-27,179.1,180.48,178.16,178.39,176.4614,38685165
2018-02-28,179.26,180.615,178.05,178.12,176.1943,33604574
2018-03-01,178.54,179.775,172.66,175.0,173.1081,48801970
2018-03-02,172.8,176.3,172.45,176.21,174.305,38453950
2018-03-05,175.21,177.74,174.52,176.82,174.9084,28401366
2018-03-06,177.91,178.25,176.13,176.67,174.76,23788506
2018-03-07,174.94,175.85,174.27,175.03,173.1377,31703462
2018-03-08,175.48,177.12,175.07,176.94,175.0271,23163767
2018-03-09,177.96,180.0,177.39,179.98,178.0342,31385134
2018-03-12,180.29,182.39,180.21,181.72,179.7554,32055405
2018-03-13,182.59,183.5,179.24,179.97,178.0243,31168404
2018-03-14,180.32,180.52,177.81,178.44,176.5109,29075469
2018-03-15,178.5,180.24,178.0701,178.65,176.7186,22584565
2018-03-16,178.65,179.12,177.62,178.02,176.0954,36836456
2018-03-19,177.32,177.47,173.66,175.3,173.4048,32804695
2018-03-20,175.24,176.8,174.94,175.24,173.3455,19314039
2018-03-21,175.04,175.09,171.26,171.27,169.4184,35247358
2018-03-22,170.0,172.68,168.6,168.85,167.0245,41051076
2018-03-23,168.39,169.92,164.94,164.94,163.1568,40248954
2018-03-26,168.07,173.1,166.44,172.77,170.9022,36272617
2018-03-27,173.68,175.15,166.92,168.34,166.5201,38962839
2018-03-28,167.25,170.02,165.19,166.48,164.6802,41668545
2018-03-29,167.805,171.75,166.9,167.78,165.9661,38398505
2018-04-02,167.88,168.94,164.47,166.68,164.878,37586791
2018-04-03,167.64,168.7455,164.88,168.39,166.5695,30278046
2018-04-04,164.88,172.01,164.77,171.61,169.7547,34605489
2018-04-05,172.58,174.2304,172.08,172.8,170.9318,26933197
2018-04-06,170.97,172.48,168.2,168.38,166.5596,35005290
2018-04-09,169.88,173.09,169.845,170.05,168.2116,29017718
2018-04-10,173.0,174.0,171.53,173.25,171.377,28614241
2018-04-11,172.23,173.9232,171.7,172.44,170.5757,22431640
2018-04-12,173.41,175.0,173.04,174.14,172.2573,22889285
2018-04-13,174.78,175.84,173.85,174.73,172.84099999999998,25124255
2018-04-16,175.0301,176.19,174.8301,175.82,173.9192,21578420
2018-04-17,176.49,178.9365,176.41,178.24,176.313,26605442
2018-04-18,177.81,178.82,176.88,177.84,175.9173,20754538
2018-04-19,174.95,175.39,172.66,172.8,170.9318,34808800
2018-04-20,170.595,171.2184,165.43,165.72,163.9284,65491140
2018-04-23,166.8348,166.92,164.09,165.24,163.4536,36515477
2018-04-24,165.67,166.33,161.2201,162.94,161.1784,33692017
2018-04-25,162.62,165.42,162.41,163.65,161.8808,28382084
2018-04-26,164.12,165.73,163.37,164.22,162.4446,27963014
2018-04-27,164.0,164.33,160.63,162.32,160.5651,35655839
2018-04-30,162.1302,167.26,161.84,165.26,163.4734,42427424
2018-05-01,166.4102,169.2,165.27,169.1,167.2718,53569376
2018-05-02,175.225,177.75,173.8,176.57,174.6611,66539371
2018-05-03,175.88,177.5,174.4411,176.89,174.9776,34068180
2018-05-04,178.25,184.25,178.17,183.83,181.8426,56201317
2018-05-07,185.18,187.67,184.75,185.16,183.1582,42451423
2018-05-08,184.99,186.22,183.665,186.05,184.0386,28402777
2018-05-09,186.55,187.4,185.22,187.36,185.3344,23211241
2018-05-10,187.74,190.37,187.65,190.04,187.9855,27989289
2018-05-11,189.49,190.06,187.45,188.59,187.2732,26212221
2018-05-14,189.01,189.53,187.86,188.15,186.8363,20778772
2018-05-15,186.78,187.07,185.1,186.44,185.1382,23695159
2018-05-16,186.07,188.46,186.0,188.18,186.8661,19183064
2018-05-17,188.0,188.91,186.36,186.99,185.6844,17294029
2018-05-18,187.19,187.8102,186.13,186.31,185.0092,18297728
2018-05-21,188.0,189.27,186.9106,187.63,186.3199,18400787
2018-05-22,188.375,188.88,186.78,187.16,185.8532,15240704
2018-05-23,186.35,188.5,185.76,188.36,187.0448,20058415
2018-05-24,188.77,188.84,186.21,188.15,186.8363,23233975
2018-05-25,188.23,189.65,187.65,188.58,187.2633,17460963
2018-05-29,187.6,188.75,186.87,187.9,186.5881,22514075
2018-05-30,187.72,188.0,186.78,187.5,186.1908,18690547
2018-05-31,187.22,188.23,186.14,186.87,185.5652,27482793
2018-06-01,187.9912,190.26,187.75,190.24,188.9117,23442510
2018-06-04,191.635,193.42,191.35,191.83,190.4906,26266174
2018-06-05,193.065,193.94,192.36,193.31,191.9603,21565963
2018-06-06,193.63,194.08,191.92,193.98,192.6256,20933619
2018-06-07,194.14,194.2,192.335,193.46,192.1092,21347180
2018-06-08,191.17,192.0,189.77,191.7,190.3615,26656799
2018-06-11,191.35,191.97,190.21,191.23,189.8948,18308460
2018-06-12,191.385,192.611,191.15,192.28,190.9375,16911141
2018-06-13,192.42,192.88,190.44,190.7,189.3685,21638393
2018-06-14,191.55,191.57,190.22,190.8,189.4678,21610074
2018-06-15,190.03,190.16,188.26,188.84,187.5215,61719160
2018-06-18,187.88,189.22,187.2,188.74,187.4222,18484865
2018-06-19,185.14,186.33,183.45,185.69,184.3935,33578455
2018-06-20,186.35,187.2,185.73,186.5,185.1978,20628701
2018-06-21,187.25,188.35,184.94,185.46,184.1651,25711898
2018-06-22,186.12,186.15,184.7,184.92,183.6289,27200447
2018-06-25,183.4,184.92,180.73,182.17,180.8981,31663096
2018-06-26,182.99,186.53,182.54,184.43,183.1423,24569201
2018-06-27,185.2278,187.28,184.03,184.16,182.8742,25285328
2018-06-28,184.1,186.21,183.8,185.5,184.2048,17365235
2018-06-29,186.29,187.19,182.91,185.11,183.8175,22737666
2018-07-02,183.82,187.3,183.42,187.18,185.8731,17731343
2018-07-03,187.79,187.95,183.54,183.92,182.6358,13954806
2018-07-05,185.26,186.41,184.28,185.4,184.1055,16604248
2018-07-06,185.42,188.43400000000003,185.2,187.97,186.6576,17485245
2018-07-09,189.5,190.68,189.3,190.58,189.2493,19756634
2018-07-10,190.71,191.28,190.1801,190.35,189.0209,15939149
2018-07-11,188.5,189.7799,187.61,187.88,186.5682,18831470
2018-07-12,189.53,191.41,189.31,191.03,189.6962,18041131
2018-07-13,191.08,191.84,190.9,191.33,189.9941,12519792
2018-07-16,191.52,192.65,190.415,190.91,189.577,15043110
2018-07-17,189.75,191.87,189.2,191.45,190.1133,15534523
2018-07-18,191.78,191.8,189.93,190.4,189.0706,16393381
2018-07-19,189.69,192.55,189.69,191.88,190.5403,20286752
2018-07-20,191.78,192.43,190.17,191.44,190.1033,20706042
