date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,212.85,217.36,211.46,216.63,215.6694,2736999
2018-08-27 00:00:00,216.64,217.46,210.22,211.97,211.0301,2418567
2018-08-28 00:00:00,212.32,216.03,212.21,215.93,214.9725,1618867
2018-08-29 00:00:00,215.6,218.75,215.44,217.9,216.9338,1517117
2018-08-30 00:00:00,217.17,219.21,216.35,218.63,217.6605,1246759
2018-08-31 00:00:00,217.97,219.78,217.6,219.47,218.4968,1341141
2018-09-04 00:00:00,219.94,221.115,218.06,220.74,219.7612,1200609
2018-09-05 00:00:00,220.6,221.09,214.71,218.69,217.7203,1837071
2018-09-06 00:00:00,218.41,220.8,216.605,219.86,218.8851,1456653
2018-09-07 00:00:00,218.28,221.58,217.18,220.32,219.343,1604593
2018-09-10 00:00:00,220.62,225.12,220.0716,224.72,223.7235,1567360
2018-09-11 00:00:00,224.11,226.79,223.71,226.02,225.0178,1595251
2018-09-12 00:00:00,226.21,226.93,223.09,225.68,224.6793,1000981
2018-09-13 00:00:00,226.34,228.375,225.93,227.78,226.77,1543249
2018-09-14 00:00:00,228.73,229.86,226.825,227.54,226.531,1434358
2018-09-17 00:00:00,227.51,228.215,225.21,225.47,224.4702,1515327
2018-09-18 00:00:00,225.79,229.62,225.21,228.18,227.1682,1331106
2018-09-19 00:00:00,227.76,228.405,219.0612,220.88,219.9005,2072178
2018-09-20 00:00:00,222.02,222.43,220.47,221.45,220.468,1366012
2018-09-21 00:00:00,222.51,223.52,219.76,220.44,219.4625,5539730
2018-09-24 00:00:00,219.48,221.97,217.69,218.9,217.9293,1505534
2018-09-25 00:00:00,219.0,221.98,219.0,221.96,220.9758,2041485
2018-09-26 00:00:00,222.65,224.6,221.06,222.18,221.1948,1452494
2018-09-27 00:00:00,222.68,224.31,222.49,222.82,221.8319,891089
2018-09-28 00:00:00,223.89,227.93,223.5,227.4,226.3916,1593368
2018-10-01 00:00:00,228.85,229.8,226.62,227.72,226.7102,1110448
2018-10-02 00:00:00,227.87,228.57,224.57,227.62,226.6107,1276090
2018-10-03 00:00:00,230.0,231.84,228.53,231.32,230.2943,1646430
2018-10-04 00:00:00,230.27,230.77,223.4,224.67,223.6737,1533717
2018-10-05 00:00:00,225.04,226.76,220.34,222.31,221.3242,1342986
2018-10-08 00:00:00,222.42,222.69,213.98,217.34,216.3762,1842088
2018-10-09 00:00:00,218.8,221.48,217.34,220.66,220.1494,1721863
2018-10-10 00:00:00,219.5,220.01,204.21,204.44,203.967,2826000
2018-10-11 00:00:00,204.64,208.56,199.0,200.69,200.2256,2918806
2018-10-12 00:00:00,208.19,212.4,205.58,211.82,211.3299,2602222
2018-10-15 00:00:00,211.69,211.69,207.57,208.78,208.2969,1220197
2018-10-16 00:00:00,211.63,215.86,209.69,214.92,214.4227,1590980
2018-10-17 00:00:00,215.44,218.95,213.25,218.83,218.3237,2167046
2018-10-18 00:00:00,217.44,218.12,212.4,212.68,212.1879,1727417
2018-10-19 00:00:00,214.97,215.95,210.14,211.1,210.6116,1725908
2018-10-22 00:00:00,212.02,214.64,209.17,213.27,212.7765,1334799
2018-10-23 00:00:00,209.53,210.34,204.3228,208.87,208.3867,1591302
2018-10-24 00:00:00,208.23,211.16,201.2701,201.43,200.9639,1532974
2018-10-25 00:00:00,204.32,208.19,202.79,207.66,207.1795,1367369
2018-10-26 00:00:00,200.97,205.31,199.55,202.02,201.5526,1399421
2018-10-29 00:00:00,206.35,208.2,196.4,200.67,200.2057,1534295
2018-10-30 00:00:00,200.88,204.21,199.46,202.8,202.3308,1486915
2018-10-31 00:00:00,205.39,212.77,205.085,211.0,210.5118,1589700
2018-11-01 00:00:00,210.81,212.59,207.81,212.36,211.8686,1411647
2018-11-02 00:00:00,212.95,215.73,211.68,212.98,212.4872,2165935
2018-11-05 00:00:00,213.94,214.87,211.32,214.44,213.9438,1361262
2018-11-06 00:00:00,213.82,216.145,211.37,213.7,213.2055,1228261
2018-11-07 00:00:00,215.69,221.89,215.02,221.88,221.3666,1146420
2018-11-08 00:00:00,220.71,223.31,220.07,223.24,222.7235,920612
2018-11-09 00:00:00,222.89,223.4099,219.05,222.17,221.6559,1588064
2018-11-12 00:00:00,221.48,221.48,212.62,212.87,212.3775,1651836
2018-11-13 00:00:00,213.93,216.38,212.05,212.84,212.3475,1569803
2018-11-14 00:00:00,214.87,216.31,208.17,209.38,208.8955,1189374
2018-11-15 00:00:00,208.79,215.19,207.67,214.54,214.0436,1342822
2018-11-16 00:00:00,213.01,214.35,210.43,211.44,210.9508,1606200
2018-11-19 00:00:00,210.05,211.15,196.27,199.24,198.779,3277575
2018-11-20 00:00:00,197.61,198.98,190.71,195.18,194.7284,4439910
2018-11-21 00:00:00,198.35,200.5685,194.33,198.4,197.9409,2578601
2018-11-23 00:00:00,195.62,197.9299,195.0,197.05,196.5941,1622731
2018-11-26 00:00:00,202.07,202.08,199.6129,201.42,200.954,2151404
2018-11-27 00:00:00,199.7,199.71,195.53,198.75,198.2901,1781413
2018-11-28 00:00:00,199.32,209.015,199.32,208.92,208.4366,2284568
2018-11-29 00:00:00,206.96,209.95,205.14,209.19,208.706,1899514
2018-11-30 00:00:00,210.41,214.88,209.01,214.53,214.0336,2692644
2018-12-03 00:00:00,217.72,219.85,211.51,213.52,213.026,2120049
